content_id,content_name,parent_id,type,platform,content_url,sheets_stage,in_mr_a,mra_chunks,mra_last_updated,action_needed
BEAM-M12.6.20.1,OVERVIEW OF T3 SYSTEM___,BEAM,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M12.6.20.2,Training,BEAM,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M12.6.20.5,VIDEO#1___,BEAM,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M12.6.20.6,VIDEO#2___,BEAM,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
BEAM-M12.6.21,EXAMPLE of Intake call,BEAM,VIDEO,KAJABI,,3,YES,18,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M12.6.3,Asana Flow,BEAM,VIDEO,KAJABI,,3,YES,3,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M12.6.4,How to start campaigns_,BEAM,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
BEAM-M12.6.6,EXAMPLE of Offer call,BEAM,VIDEO,KAJABI,,3,YES,15,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M14.1,Overview of T3 System (36 Min)_,BEAM,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M14.2,Tapper Stance - (Call 3 of PSM 1 hour 37 min)_,BEAM,VIDEO,KAJABI,,3,NO,,,Format + Upload
BEAM-M14.20,Creating Follow-ups_,BEAM,VIDEO,KAJABI,,3,YES,3,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M14.21,VIDEO TRAINING_,BEAM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
BEAM-M14.25.10,- The “Bucket” Label,BEAM,VIDEO,KAJABI,,3,NO,,,Format + Upload
BEAM-M14.25.11,- Updating the Daily Sales Report,BEAM,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
BEAM-M14.25.12,- Using TextExpander,BEAM,VIDEO,KAJABI,,3,YES,1,2026-04-22,Sheets sync only (already in Mr. A)
