content_id,content_name,parent_id,type,platform,content_url,sheets_stage,in_mr_a,mra_chunks,mra_last_updated,action_needed
MM-366,"FEB 3, 2022-NO PITCH VIDEO 166 Sales – $65,224 Cash Collected Mojo",MM,VIDEO,KAJABI,,3,YES,23,2026-04-25,Sheets sync only (already in Mr. A)
MM-367,"FEB 10, 2022-Next Level Conversion Leverage Mojo",MM,VIDEO,KAJABI,,3,YES,15,2026-04-25,Sheets sync only (already in Mr. A)
MM-368,"FEB 17, 2022-Manage your ENERGY LEVEL Mojo",MM,VIDEO,KAJABI,,3,YES,25,2026-04-25,Sheets sync only (already in Mr. A)
MM-369,"FEB 24, 2022-Strategic Giving Mojo",MM,VIDEO,KAJABI,,3,YES,18,2026-04-25,Sheets sync only (already in Mr. A)
MM-370,"MAR 3, 2022-Hodgepodge Mojo",MM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
MM-371,"MAR 10, 2022-UN-Bury Your Big Idea Mojo",MM,VIDEO,KAJABI,,3,YES,15,2026-04-25,Sheets sync only (already in Mr. A)
MM-372,"MAR 24, 2022-Golden Opportunities Mojo",MM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
MM-373,"MAR 31, 2022-Most opened and sales pulling ONE WORD subject line Mojo",MM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
MM-374,"APR 7, 2022-The G Doc Sales Machine Mojo",MM,VIDEO,KAJABI,,3,YES,20,2026-04-25,Sheets sync only (already in Mr. A)
MM-375,"APR 14, 2022-Buried Deep Inside Every Brain is a Buy Button Mojo",MM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
MM-376,"APR 21, 2022-Q and A Mojo",MM,VIDEO,KAJABI,,3,YES,20,2026-04-25,Sheets sync only (already in Mr. A)
MM-377,"APR 28, 2022-Forever Income Mojo",MM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
MM-458,"JAN 4, 2024-Nower Power! Mojo",MM,VIDEO,KAJABI,,3,YES,12,2026-04-25,Sheets sync only (already in Mr. A)
MM-459,"JAN 11, 2024-Email Newsletters Are Making a Comeback!",MM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
MM-460,"JAN 18, 2024-Time Scarcity Mojo",MM,VIDEO,KAJABI,,3,YES,23,2026-04-25,Sheets sync only (already in Mr. A)
MM-461,"JAN 25, 2024-Goodwill Campaign Mojo",MM,VIDEO,KAJABI,,3,YES,19,2026-04-25,Sheets sync only (already in Mr. A)
MM-462,"FEB 1, 2024-Pot Luck Mojo",MM,VIDEO,KAJABI,,3,YES,24,2026-04-25,Sheets sync only (already in Mr. A)
MM-463,"FEB 8, 2024-Skool GW Campaign Tactics",MM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
MM-464,"FEB 15, 2024-The Dark Side of Skool",MM,VIDEO,KAJABI,,3,YES,14,2026-04-25,Sheets sync only (already in Mr. A)
MM-465,"FEB 22, 2024-Calendar Debt & Time Bankruptcy",MM,VIDEO,KAJABI,,3,YES,14,2026-04-25,Sheets sync only (already in Mr. A)
MM-466,"FEB 22, 2024-Licensing Mojo",MM,VIDEO,KAJABI,,3,YES,13,2026-04-25,Sheets sync only (already in Mr. A)
MM-473,"APR 18, 2024-Straight Q and A",MM,VIDEO,KAJABI,,3,YES,26,2026-04-25,Sheets sync only (already in Mr. A)
MM-474,"APR 25, 2024-How I’m getting pay in fulls without discounts",MM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
MM-475,"MAY 2, 2024-The Dork Bus Intro",MM,VIDEO,KAJABI,,3,YES,37,2026-04-25,Sheets sync only (already in Mr. A)
MM-476,"MAY 9, 2024-STRATEGIC use of FRICTION Mojo",MM,VIDEO,KAJABI,,3,YES,25,2026-04-25,Sheets sync only (already in Mr. A)
MM-506,Reduce Neediness Mojo,MM,VIDEO,KAJABI,,3,YES,19,2026-04-25,Sheets sync only (already in Mr. A)
MM-507,Demo Sales Video Mojo,MM,VIDEO,KAJABI,,3,YES,40,2026-04-25,Sheets sync only (already in Mr. A)
MM-508,Expert Versus Exploiter Mojo,MM,VIDEO,KAJABI,,3,YES,25,2026-04-25,Sheets sync only (already in Mr. A)
MM-509,Pot Luck Mojo,MM,VIDEO,KAJABI,,3,YES,27,2026-04-25,Sheets sync only (already in Mr. A)
MM-510,Brainstorm and Q and A Mojo,MM,VIDEO,KAJABI,,3,YES,36,2026-04-25,Sheets sync only (already in Mr. A)
MM-511,The cure for Ineedamore Disease Mojo,MM,VIDEO,KAJABI,,3,YES,35,2026-04-25,Sheets sync only (already in Mr. A)
MM-512,Straight Q and A Mojo,MM,VIDEO,KAJABI,,3,YES,27,2026-04-25,Sheets sync only (already in Mr. A)
MM-513,PREDICTABLE Sales Mojo,MM,VIDEO,KAJABI,,3,YES,34,2026-04-25,Sheets sync only (already in Mr. A)
MM-514,Open Mic Mojo,MM,VIDEO,KAJABI,,3,YES,25,2026-04-25,Sheets sync only (already in Mr. A)
MM-515,Self Multiplying Assets Made EZ Mojo,MM,VIDEO,KAJABI,,3,YES,41,2026-04-25,Sheets sync only (already in Mr. A)
MM-516,Let’s mix our Mojo,MM,VIDEO,KAJABI,,3,YES,27,2026-04-25,Sheets sync only (already in Mr. A)
MM-517,CURATE Mojo,MM,VIDEO,KAJABI,,3,YES,25,2026-04-25,Sheets sync only (already in Mr. A)
MM-518,One Move Millions Mojo,MM,VIDEO,KAJABI,,3,YES,44,2026-04-25,Sheets sync only (already in Mr. A)
MM-519,Q & A Mojo,MM,VIDEO,KAJABI,,3,YES,32,2026-04-25,Sheets sync only (already in Mr. A)
MM-520,2 Conversations with 2 Different Men Mojo,MM,VIDEO,KAJABI,,3,YES,26,2026-04-25,Sheets sync only (already in Mr. A)
MM-552,Life Satisfaction Level 10 in 2026,MM,VIDEO,KAJABI,,3,YES,25,2026-04-25,Sheets sync only (already in Mr. A)
MM-553,Mojo Mixer,MM,VIDEO,KAJABI,,3,YES,24,2026-04-25,Sheets sync only (already in Mr. A)
MM-554,Life Changing Breakthroughs Mojo,MM,VIDEO,KAJABI,,3,YES,23,2026-04-25,Sheets sync only (already in Mr. A)
MM-555,Brainstorm Mojo,MM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
MM-556,Mojo Mixer,MM,VIDEO,KAJABI,,3,YES,18,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M01,Module 1 – Money Mojo,PCF,VIDEO,KAJABI,,3,YES,14,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M02,THE PRACTICE SECTION_ Million Dollar Marketing Sequence Walkthrough,PCF,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M03,THE PRACTICE SECTION_ Piggy Backing Passive Income Play,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M04,Module 2_ Offer Construction Mojo,PCF,VIDEO,KAJABI,,3,YES,12,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M05,North Star Survey,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M07,Part 1 Video 1 of the  Blue Collar continuity Funnel,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M08,Part 1 Video 2 of the Blue Collar Continuity Funnel,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M09,Part 1 Vdieo 3 of the Blue Collar Continuity Funnel,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M10,Part 1 Video 4 of the Blue Collar Continuity Funnel,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M11,Module 3_ M.V.P. Mojo,PCF,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M12,Order Form Critique,PCF,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M13,Module 4_ Offer Testing Mojo,PCF,VIDEO,KAJABI,,3,YES,6,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M14,THE PRACTICE SECTION_ Conversational Sales Mojo-Part 1,PCF,VIDEO,KAJABI,,3,YES,13,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M15,conversational sales mojo 2,PCF,VIDEO,KAJABI,,3,YES,9,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M16,THE PRACTICE SECTION_ Conversational Sales Mojo-Part 3,PCF,VIDEO,KAJABI,,3,YES,7,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M17,Module 5_ Bonus Catch-Up,PCF,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M18,THE PRACTICE SECTION_ 6 Niche Factors,PCF,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M19,Module 6 – Internal Launch Mojo,PCF,VIDEO,KAJABI,,3,YES,10,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M20,Module 7_ Hiring Mojo,PCF,VIDEO,KAJABI,,3,YES,3,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M21,Module 8 – Daily Cash Flow Mojo,PCF,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M22,THE PRACTICE SECTION_ Blue Collar Continuity Funnel – Part 2-#1,PCF,VIDEO,KAJABI,,3,YES,16,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M23,THE PRACTICE SECTION_ Blue Collar Continuity Funnel_ Part 2-#2,PCF,VIDEO,KAJABI,,3,YES,16,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M24,Module 9 - Webisode Mojo,PCF,VIDEO,KAJABI,,3,YES,15,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M25,Webisode Example,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M26,Module 10 - Mid-Ticket Cash-On-Demand Mojo,PCF,VIDEO,KAJABI,,3,YES,7,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M27,THE PRACTICE SECTION_ iPasta Mojo,PCF,VIDEO,KAJABI,,3,YES,18,2026-04-25,Sheets sync only (already in Mr. A)
PCF-M28,Module 11 – Big Ticket Mojo,PCF,VIDEO,KAJABI,,3,NO,,,Format + Upload
PCF-M29,Extra Mojo_ G3 Order Form Mojo,PCF,VIDEO,KAJABI,,3,YES,6,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M02,READ FIRST_ Unblock Adobe Flash Player in Google Chrome,PSM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
PSM-M03,Call #1 Wax On Wax Off,PSM,VIDEO,KAJABI,,3,YES,38,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M04,Call #2 The T3 process,PSM,VIDEO,KAJABI,,3,YES,41,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M05,Call #3 Follow Up Taps,PSM,VIDEO,KAJABI,,3,YES,39,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M06,Offer Multiplier Method,PSM,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M07,Millionaire Math Used by the Wealthiest People,PSM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M08,The Offer T,PSM,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M09,Social T3 Case Study,PSM,VIDEO,KAJABI,,3,YES,18,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M10,Q&A #1,PSM,VIDEO,KAJABI,,3,YES,29,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M11,Q&A #2,PSM,VIDEO,KAJABI,,3,YES,21,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M12,Q&A #3,PSM,VIDEO,KAJABI,,3,YES,23,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M13,Q&A #4,PSM,VIDEO,KAJABI,,3,YES,15,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M14,Setting Up Gmail Account,PSM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
PSM-M15,Sending T2s and Follow-ups,PSM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M16,Labeling T3s and Pay Taps Tab,PSM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M18,Loading Emails as Canned Responses,PSM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
PSM-M19,Watch BEFORE Sending T3s,PSM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
PSM-M20,The 5 P's in Pre-Selling (Do this before you pitch your product!),PSM,VIDEO,KAJABI,,3,NO,,,Format + Upload
PSM-M21,Advanced Tapping For Rainmakers FUEL UP,PSM,VIDEO,KAJABI,,3,NO,,,Format + Upload
PSM-M22,Love Letter Mojo,PSM,VIDEO,KAJABI,,3,YES,12,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M23,The BEST T1 EVER,PSM,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M24,Please Take My Money Mojo,PSM,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M25,2nd Helping Campaign,PSM,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M27,Stamp Alchemy,PSM,VIDEO,KAJABI,,3,NO,,,Format + Upload
PSM-M28,Getting All the Leads and Handraisers You Can Handle,PSM,VIDEO,KAJABI,,3,NO,,,Format + Upload
PSM-M29,BTEM Warm Up & Million Dollar Template Vault,PSM,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M29.1,Walk-Through Video-BTEM Million Dollar Template Vault workshop files,PSM,VIDEO,KAJABI,,3,NO,,,Format + Upload
PSM-M29.2.12,NorthStarSurvey,PSM,VIDEO,KAJABI,,3,NO,,,Format + Upload
PSM-M29.2.16,ReferralMojo,PSM,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M30,BTEM Module 1_ Circle of Money Mojo,PSM,VIDEO,KAJABI,,3,YES,16,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M31,BTEM Module 2_ Rapid Bonding Mojo,PSM,VIDEO,KAJABI,,3,YES,14,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M32,BTEM Module 3_ Symptomatic Marketing Mojo,PSM,VIDEO,KAJABI,,3,NO,,,Format + Upload
PSM-M33,BTEM Module 4_ Catch-Up Call - Offer Mojo,PSM,VIDEO,KAJABI,,3,YES,10,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M34,BTEM Module 5 - CAP Sales Mojo,PSM,VIDEO,KAJABI,,3,YES,12,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M35,BTEM Module 6 - Rainmaker Campaign Mojo,PSM,VIDEO,KAJABI,,3,YES,12,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M36,BTEM Module 7 - Campaign Troubleshooting Mojo,PSM,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M37,BTEM Module 8 - Mind Movie and Writing Mojo,PSM,VIDEO,KAJABI,,3,YES,7,2026-04-25,Sheets sync only (already in Mr. A)
PSM-M38,BTEM Module 9 - Chat Mojo,PSM,VIDEO,KAJABI,,3,YES,17,2026-04-25,Sheets sync only (already in Mr. A)
PWRW-M01,Do this.  Get Partners!  VIDEO,PWRW,VIDEO,KAJABI,,3,YES,3,2026-04-25,Sheets sync only (already in Mr. A)
PWRW-M02.1,Live recording from Marcus Anderson,PWRW,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
PWRW-M03,Referral and Parntering Mojo,PWRW,VIDEO,KAJABI,,3,NO,,,Format + Upload
PWRW-M04,Turbo Referral Mojo,PWRW,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
RBR-M01,Ride Free Ad Co-Ops-Fuel-Up,RBR,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
RBR-M02,New Money From Old Courses,RBR,VIDEO,KAJABI,,3,NO,,,Format + Upload
RBR-M03,Produce Income Streams from Thin Air as a Co-op Organizer,RBR,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
RBR-M04,Nice Guy Negotiation Mojo-AUDIO,RBR,VIDEO,KAJABI,,3,YES,23,2026-04-25,Sheets sync only (already in Mr. A)
RI-M01,Ronin Interview With Chad,RI,VIDEO,KAJABI,,3,YES,22,2026-04-25,Sheets sync only (already in Mr. A)
RI-M02,Thijs De Groot,RI,VIDEO,KAJABI,,3,YES,11,2026-04-25,Sheets sync only (already in Mr. A)
RI-M03,Ronin Rebekah Duron From Hair Pulling Agency to Licensing Freedom in the Real World,RI,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
RI-M04,50 client deal with NO SELLING - NO CUSTOMER SERVICE!,RI,VIDEO,KAJABI,,3,YES,7,2026-04-25,Sheets sync only (already in Mr. A)
RI-M05,"Jim's $186,000 2nd Helping Campaign (1st Try!)",RI,VIDEO,KAJABI,,3,YES,12,2026-04-25,Sheets sync only (already in Mr. A)
RI-M06,Hamoon No Money Down,RI,VIDEO,KAJABI,,3,NO,,,Format + Upload
RIVM-M01.1.1,Fun 23 Min Overview Video,RIVM,VIDEO,KAJABI,,3,NO,,,Format + Upload
RIVM-M02,Get Paid (Recurring) to Borrow Other People's Traffic,RIVM,VIDEO,KAJABI,,3,YES,35,2026-04-25,Sheets sync only (already in Mr. A)
RIVM-M03,The Royalty Income Vending Machine - VIDEO,RIVM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
RIVM-M04.1,LIVE CASE STUDY What to say when they respond?,RIVM,VIDEO,KAJABI,,3,NO,,,Format + Upload
RIVM-M04.4.1,Live Case Study_ What to say when they respond!,RIVM,VIDEO,KAJABI,,3,NO,,,Format + Upload
RIVM-M06,AMA,RIVM,VIDEO,KAJABI,,3,YES,38,2026-04-25,Sheets sync only (already in Mr. A)
RIVM-M07,How to Cold Email Your Way Into Multi-Million Dollar Opportunities,RIVM,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
RIVM-M07.1,How to Cold Email Your Way Into Multi-Million Dollar Opportunities,RIVM,VIDEO,KAJABI,,3,NO,,,Format + Upload
RM-M01,Referral and Partnering Mojo,RM,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
RM-M02,TURBO_Referral_Mojo-AUDIO,RM,VIDEO,KAJABI,,3,YES,5,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M01,Turn Trash into Treasure! - FEB 2023 VIDEO,RSYS,VIDEO,KAJABI,,3,YES,60,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M02,"Today Money, Tomorrow Money & Forever Money",RSYS,VIDEO,KAJABI,,3,YES,24,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M03,How to Drive All the Free Traffic and Build a List as Big as You Want MP3,RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
RSYS-M04,The NEW TRAFFIC Method (Replay) VIDEO,RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
RSYS-M05,Intro to the Ronin Method,RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
RSYS-M06,1st Ronin Roundup,RSYS,VIDEO,KAJABI,,3,YES,39,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M07,Ronin Don't Have White Knuckles,RSYS,VIDEO,KAJABI,,3,YES,42,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M08,How to Live Off Your Investments Even If You Don't Have a Nest Egg,RSYS,VIDEO,KAJABI,,3,YES,41,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M09,Ronin Roundup!,RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
RSYS-M10,F.I.T. Part 1 (Financially Indestructible Training),RSYS,VIDEO,KAJABI,,3,YES,32,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M11,F.I.T. Part 2 (Financially Indestructible Training),RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
RSYS-M12,the_capn_obvious_way_to_1k_a_day_amp_growing_your_1st_or_next_money_tree,RSYS,VIDEO,KAJABI,,3,YES,38,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M12.1,The Cap'n Obvious Way to $1k a Day & Growing your 1st (or Next) Money Tree MP3,RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
RSYS-M13,$100k Auction Reverse Engineer,RSYS,VIDEO,KAJABI,,3,YES,37,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M14,Upgrade Your Income Renting AI Tools-Part 1,RSYS,VIDEO,KAJABI,,3,YES,28,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M15,Upgrade Your Income Renting AI Tools-Part 2,RSYS,VIDEO,KAJABI,,3,YES,13,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M16,Get Paid (Recurring) to Borrow Other People's Traffic,RSYS,VIDEO,KAJABI,,3,YES,34,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M17,Ronin Hangout and Q & A,RSYS,VIDEO,KAJABI,,3,YES,38,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M18,Million Dollar Investor-Training Wheels Live Skool Call in Ronin-OCT 2025,RSYS,VIDEO,KAJABI,,3,YES,20,2026-04-25,Sheets sync only (already in Mr. A)
RSYS-M19.1,Buy the Damn Thing_ Newsletter Purchase in 11 Minutes,RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
RSYS-M20,Million Dollar Investor (Training Wheels),RSYS,VIDEO,KAJABI,,3,NO,,,Format + Upload
SB-M01,Getting Control of Assets AMA Training,SB,VIDEO,KAJABI,,3,NO,,,Format + Upload
SB-M02,Financially_Indestructible_Training,SB,VIDEO,KAJABI,,3,NO,,,Format + Upload
SB-M03,Rifle_versus_Shotgun_Approach_to_Partner_Wrangling_Finnish_Saas_example_,SB,VIDEO,KAJABI,,3,YES,4,2026-04-25,Sheets sync only (already in Mr. A)
SB-M04,Cold Outreach & Prospecting AMA (2),SB,VIDEO,KAJABI,,3,YES,42,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M02,Bonus 2_ Million Dollar Marketing Sequence (MDMS),SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M02.1,Million Dollar Marketing Sequence Walkthrough.mp3,SBP,VIDEO,KAJABI,,3,YES,7,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M04,Newsletter Sponsorships_ Starting the Conversation,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M04.1.1,Outreach and stance -,SBP,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M04.1.2,Price negotiation -,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M04.1.3,Copy and price renegotiation -,SBP,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M05,Negotiating Price in the Newsletter,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M05.1.1,Outreach and stance -,SBP,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M05.1.2,Price negotiation -,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M05.1.3,Copy and price renegotiation -,SBP,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M06,Renegotiating Price and Copy Insider Tips,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M06.1.1,Outreach and stance -,SBP,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M06.1.2,Price negotiation -,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M06.1.3,Copy and price renegotiation -,SBP,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M08,Using Substack to Find Newsletters,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M09,Using Google to Find Newsletters,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M10,Finding Email Addresses from Domains,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M11,ClickMagick - Tracking Links Overview,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M12,ClickMagick - Advanced Campaign Tracking,SBP,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
SBP-M13,Shogun Chat GPT Bonus_ Find Shogun Traffic Partners with AI,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M14,BONUS_ Get Buyers Free Mojo,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M15,Bugatti Traffic_ The FASTEST converting traffic known to man,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M16,Read & Listen to this FIRST,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M17,Audience Multiplier Campaign,SBP,VIDEO,KAJABI,,3,YES,8,2026-04-25,Sheets sync only (already in Mr. A)
SBP-M18,1000% Markup Mojo Part 1_ Millionaire Math Used by the Wealthiest People,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
SBP-M19,1000MarkupMojo,SBP,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M01,Newsletter Sponsorships_ Starting the Conversation,STM,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M01.1.1,Outreach and stance -,STM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
STM-M01.1.2,Price negotiation -,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
STM-M01.1.3,Copy and price renegotiation -,STM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
STM-M02,Negotiating Price in the Newsletter,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
STM-M02.1.1,Outreach and stance -,STM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
STM-M02.1.2,Price negotiation -,STM,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M02.1.3,Copy and price renegotiation -,STM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
STM-M03,Renegotiating Price and Copy Insider Tips,STM,VIDEO,KAJABI,,3,NO,,,Format + Upload
STM-M03.1.1,Outreach and stance -,STM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
STM-M03.1.2,Price negotiation -,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
STM-M03.1.3,Copy and price renegotiation -,STM,VIDEO,KAJABI,,3,YES,2,2026-04-25,Sheets sync only (already in Mr. A)
STM-M05,Using Substack to Find Newsletters,STM,VIDEO,KAJABI,,3,YES,1,2026-04-23,Sheets sync only (already in Mr. A)
