content_ID,content_name,platform,location,status,content_url,content_image_URL,,,,,,,,,,,,,,,,,,,,,,,,
BMOC,Big Money from Old Courses,SKOOL,"LOCATION_ROYALTY_RONIN_CLASSROOM,location_ai_royalty_rockstars_classroom",7 - Uploaded to Agent,"https://www.SKOOL.com/royaltyrockstars/classroom/4f44faa7?md=2b50b21221fa4e058910cd3a7476fae1
",,,,,,,,,,,,,,,,,,,,,,,,,
CDODC,Coffee Dates on Demand - COFFEE,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDODP,Coffee Dates on Demand - PREMIUM,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDODU,Coffee Dates on Demand - ULTRA,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDP,Coffee Date POSTs,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,7 - Uploaded to Agent,https://www.SKOOL.com/ronin/classroom/44f29647?md=e2b5aa87ba3f42a9987cc7301d7ede63,,,,,,,,,,,,,,,,,,,,,,,,,
CKFK,Cash Kopywriting for Kids,KAJABI,LOCATION_LOCATION_BIG_MOJO_LIBRARY,7 - Uploaded to Agent,,,,,,,,,,,,,,,,,,,,,,,,,,
DAB,Destroy a Bill with a Pop-Up Auction,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,,,,,,,,,,,,,,4,,,,,,,TRAVIS_SAGO,,Formatted .md not found in Drive,,,,0
DAY8,"Day 8 - Unlocks the Million Dollar Template Library and $12,000 worth of Bonuses",SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,0 - Placeholder,https://www.SKOOL.com/ronin/classroom/d62ee2b4?md=8704d1aff62040f78918b2c19d7cfc43,,,,,,,,,,,,4,,,,,,,TRAVIS_SAGO,,Formatted .md not found in Drive,,,,0
FU,Getting to the Beautiful Position of FU,SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,7 - Uploaded to Agent,https://www.SKOOL.com/ronin/classroom/472f1fa6?md=bbc13948efd54fc989218b9ce7a0f7c7,,,,,,,,,,,,,,,,,,,,,,,,,
GLOSS,"Ronin, Mojo and Tapping Glossary",SKOOL,LOCATION_ROYALTY_RONIN_CLASSROOM,,https://www.skool.com/ronin/classroom/a9b634af?md=3979c43155534bf4965220bf8ad2bdc1,,,,,,,,,,,,,,,,,,,,,,,,,
